SKU,NombreProducto,Ventas_Proyectadas_Regular,Ventas_Proyectadas_Cyber,Elasticidad_IA
106543,FACES ESMALTE VERMELHO ASSUNSION,1.0,1.0,-0.0
106131,UNA SOMBRA STUDIO RF MARSALA MATTE,1.0,1.0,-0.0
106542,FACES ESMALTE ROSA MONTEVIDEO,2.0,2.0,0.05
106137,UNA RF SOMBRA STUD DOURADO SPARK 3G,1.0,1.0,-0.05
106128,UNA SOMBRA STUDIO RF MARR PROF MATT,1.0,1.1,-0.16
109144,FACES DELINEADOR RETRATIL PINK TREN,1.0,1.2,-0.54
67647,FACES MASCARA INCOLOR 7ML,6.7,11.4,-1.9
65830,FACES CANETA DELINEAD PRETA NV TERC 1ML,2.7,4.0,-1.32
109142,FACES DELINEADOR RETRAT MARROM POWE,1.8,2.6,-1.22
106138,UNA RF SOMBRA STUDIO PRATA SPARK 3G,1.0,1.0,-0.0
167186,FACES BATOM MULTIMIX CREM HEY HONEY,2.0,2.1,-0.19
114984,"FACES BATOM MULTM CREM CORAL FUN 3,5G",1.1,2.0,-2.36
81949,FACES GLOSS LICHIA GLACE,1.9,3.2,-1.73
106553,FACES ESMALTE MARROM NUDE SP,1.0,1.5,-1.25
148413,LUMINA RF COND CACHEADOS 300ML,6.3,11.2,-2.13
148162,LUMINA RF SH CACHEADOS 300ML,7.1,11.7,-1.75
106544,FACES ESMALTE LILAS CARACAS,1.0,1.5,-1.3
106534,FACES ESMALTE ROSA NUDE BUENOS AIRE,1.9,3.0,-1.48
102400,NATURE SH CACHINHOS DEFINIDOS 250ML,4.8,7.3,-1.47
147442,LUMINA RF SH ANTIOLEOSIDADE 300ML,9.5,18.5,-2.57
147445,LUMINA RF COND ANTIOLEOSIDADE 300ML,4.1,6.4,-1.52
147420,LUMINA SH ANTICASPA 300ML ARG,4.3,6.6,-1.49
91821,FACES CLAREA FACIAL PELE M O FPS15 S CT,7.5,13.3,-2.12
167191,FACES BATOM MULTIMIX CREM COBRE MYSTIC,1.1,2.0,-2.41
